기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1001255,1,38,,,,,38,,,,,,,22,38157895
2019_1,1001255,1,38,,,,,38,,,,,,,22,38157895
2019_2,1001254,9,178,14,,,,154,36,2,,,,,40,84308521
2019_1,1001254,9,178,14,,,,154,36,2,,,,,40,84308521
2019_2,1001253,3,124,36,,2,,124,,,36,,2,,49,169500812
2019_1,1001253,3,124,36,,2,,124,,,36,,2,,49,169500812
2019_2,1001252,2,24,,,,,16,8,,,,,,39,99833333
2019_1,1001252,2,24,,,,,16,8,,,,,,39,99833333
2019_2,1001251,3,40,,,,,18,22,,,,,,39,104958995
2019_1,1001251,3,40,,,,,18,22,,,,,,39,104958995
2019_2,1001250,10,523,3,,,,308,215,3,,,,,23,112063821
2019_1,1001250,10,523,3,,,,308,215,3,,,,,23,112063821
2019_2,1001249,8,118,,,,,46,24,48,,,,,38,114937500
2019_1,1001249,8,118,,,,,46,24,48,,,,,38,114937500
2019_2,1001248,10,218,4,,,,140,68,14,,,,,49,107145397
2019_1,1001248,10,218,4,,,,140,68,14,,,,,49,107145397
2019_2,1001246,2,380,348,92,,,380,,130,310,,,,52,202972608
2019_1,1001246,2,380,348,92,,,380,,130,310,,,,52,202972608
2019_2,1001245,3,76,28,56,,,72,4,4,80,,,,47,166444444
2019_1,1001245,3,76,28,56,,,72,4,4,80,,,,47,166444444
2019_2,1001244,2,52,,,,,45,7,,,,,,20,78125000
2019_1,1001244,2,52,,,,,45,7,,,,,,20,78125000
2019_2,1001243,1,32,,,,,32,,,,,,,19,71312500
2019_1,1001243,1,32,,,,,32,,,,,,,19,71312500
2019_2,1001242,8,182,6,2,2,,150,34,4,4,,,,43,119176151
2019_1,1001242,8,182,6,2,2,,150,34,4,4,,,,43,119176151
2019_2,1001241,8,119,17,10,,3,58,74,8,6,2,1,,68,197466880
2019_1,1001241,8,119,17,10,,3,58,74,8,6,2,1,,68,197466880
2019_2,1001240,12,146,30,6,2,,112,56,12,4,,,,54,121877083
2019_1,1001240,12,146,30,6,2,,112,56,12,4,,,,54,121877083
2019_2,1001239,2,,206,,,,,,,,68,138,,85,505752016
2019_1,1001239,2,,206,,,,,,,,68,138,,85,505752016
2019_2,1001238,3,,,615,150,,,,33,612,120,,,116,360368889
2019_1,1001238,3,,,615,150,,,,33,612,120,,,116,360368889
2019_2,1001237,3,16,20,,,,,10,20,6,,,,65,232902778
2019_1,1001237,3,16,20,,,,,10,20,6,,,,65,232902778
2019_2,1001236,3,7,27,,,,,20,14,,,,,72,189183333
2019_1,1001236,3,7,27,,,,,20,14,,,,,72,189183333
2019_2,1001234,7,50,22,14,,,2,36,32,14,2,,,67,225727891
2019_1,1001234,7,50,22,14,,,2,36,32,14,2,,,67,225727891
2019_2,1001231,3,54,16,,,,48,10,12,,,,,40,112819597
2019_1,1001231,3,54,16,,,,48,10,12,,,,,40,112819597
2019_2,1001230,1,,93,53,1,2,,128,21,,,,,85,152174497
2019_1,1001230,1,,93,53,1,2,,128,21,,,,,85,152174497
2019_2,1001229,2,6,,,,,6,,,,,,,25,73000000
2019_1,1001229,2,6,,,,,6,,,,,,,25,73000000
2019_2,1001226,5,117,356,78,6,17,100,16,3,246,186,2,21,58,203462975
2019_1,1001226,5,117,356,78,6,17,100,16,3,246,186,2,21,58,203462975
2019_2,1001224,1,,12,,,,,12,,,,,,78,167500000
2019_1,1001224,1,,12,,,,,12,,,,,,78,167500000
2019_2,1001223,6,,156,117,67,30,,16,136,77,49,2,90,108,418501389
2019_1,1001223,6,,156,117,67,30,,16,136,77,49,2,90,108,418501389
2019_2,1001222,2,240,240,,,,,,240,122,118,,,75,346709056
2019_1,1001222,2,240,240,,,,,,240,122,118,,,75,346709056
2019_2,1001221,13,787,99,370,4,1,596,95,483,86,1,,,64,190951237
2019_1,1001221,13,787,99,370,4,1,596,95,483,86,1,,,64,190951237
2019_2,1001213,1,56,,,,,48,8,,,,,,21,95285714
2019_1,1001213,1,56,,,,,48,8,,,,,,21,95285714
2019_2,1001208,2,,255,,,,,77,178,,,,,77,206803248
2019_1,1001208,2,,255,,,,,77,178,,,,,77,206803248
2019_2,1001207,1,300,,,,,,300,,,,,,17,106600000
