기준_년_분기_코드,상권_코드,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
2018_4,1001063,LH,상권확장,99,56,102,51
2018_4,1001062,LL,다이나믹,85,46,102,51
2018_4,1001061,HL,상권축소,120,47,102,51
2018_4,1001060,LH,상권확장,76,59,102,51
2018_4,1001059,HL,상권축소,106,48,102,51
2018_4,1001058,LL,다이나믹,92,44,102,51
2018_4,1001057,LL,다이나믹,93,50,102,51
2018_4,1001056,LL,다이나믹,98,43,102,51
2018_4,1001055,LH,상권확장,100,56,102,51
2018_4,1001054,HH,정체,105,55,102,51
2018_4,1001053,LL,다이나믹,87,48,102,51
2018_4,1001052,LL,다이나믹,88,44,102,51
2018_4,1001051,LH,상권확장,93,54,102,51
2018_4,1001050,LL,다이나믹,96,48,102,51
2018_4,1001049,HH,정체,130,55,102,51
2018_4,1001048,LL,다이나믹,95,47,102,51
2018_4,1001047,LL,다이나믹,100,45,102,51
2018_4,1001046,HL,상권축소,103,44,102,51
2018_4,1001045,LL,다이나믹,99,51,102,51
2018_4,1001044,LL,다이나믹,99,47,102,51
2018_4,1001043,HH,정체,114,55,102,51
2018_4,1001042,LL,다이나믹,96,50,102,51
2018_4,1001041,LL,다이나믹,99,51,102,51
2018_4,1001040,HH,정체,110,59,102,51
2018_4,1001039,HL,상권축소,108,49,102,51
2018_4,1001038,LL,다이나믹,67,43,102,51
2018_4,1001037,HH,정체,105,53,102,51
2018_4,1001036,LL,다이나믹,81,40,102,51
2018_4,1001035,HL,상권축소,104,46,102,51
2018_4,1001034,HH,정체,107,52,102,51
2018_4,1001033,HH,정체,133,55,102,51
2018_4,1001032,LL,다이나믹,86,47,102,51
2018_4,1001031,HH,정체,103,58,102,51
2018_4,1001030,HH,정체,105,52,102,51
2018_4,1001029,HH,정체,153,56,102,51
2018_4,1001028,HH,정체,109,58,102,51
2018_4,1001027,LL,다이나믹,76,46,102,51
2018_4,1001026,HL,상권축소,114,48,102,51
2018_4,1001025,LL,다이나믹,89,48,102,51
2018_4,1001024,LH,상권확장,91,54,102,51
2018_4,1001023,LL,다이나믹,67,49,102,51
2018_4,1001022,LL,다이나믹,100,51,102,51
2018_4,1001021,LL,다이나믹,69,44,102,51
2018_4,1001020,LL,다이나믹,55,37,102,51
2018_4,1001019,HL,상권축소,128,51,102,51
2018_4,1001018,LL,다이나믹,96,40,102,51
2018_4,1001017,HH,정체,112,52,102,51
2018_4,1001016,HL,상권축소,105,48,102,51
2018_4,1001015,LL,다이나믹,74,46,102,51
2018_4,1001014,HH,정체,207,78,102,51
2018_4,1001013,HL,상권축소,102,49,102,51
2018_4,1001012,LL,다이나믹,87,47,102,51
2018_4,1001011,HH,정체,111,54,102,51
2018_4,1001010,LL,다이나믹,99,41,102,51
2018_4,1001009,HH,정체,111,51,102,51
2018_4,1001008,LH,상권확장,98,52,102,51
2018_4,1001007,HH,정체,104,53,102,51
2018_4,1001006,LH,상권확장,88,52,102,51
