기준_년_분기_코드,상권_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1000352,130,2,5,,1,18,1,,2,1,,,1,,5,,,,1,27
2019_2,1000528,113,4,4,,1,12,5,,1,1,,,2,,5,,,,,11
2019_2,1000500,125,2,5,,,17,,,,,,,,,4,,,,1,21
2019_2,1000499,122,2,4,,,11,1,2,1,1,,,,,9,,,,1,26
2019_2,1000558,131,3,4,,3,15,2,1,,,,,2,,7,,,,1,15
2019_2,1000526,70,1,1,,,8,2,2,1,2,,,,,,,,,,11
2019_2,1000555,100,2,2,,1,10,,,1,,,,,,7,,,,2,9
2019_2,1000270,195,2,5,2,2,19,2,2,3,2,9,,1,,20,,,,1,28
2019_2,1000252,133,4,2,,1,12,2,3,,1,,,1,,,,,,,21
2019_2,1000654,99,4,8,,,2,1,,1,,,,,,4,,,,,52
2019_2,1000596,96,1,2,,,9,1,3,2,,,,2,,,,,,,23
2019_2,1000355,59,2,,,,8,,,1,,,,,1,1,,,,,18
2019_2,1000481,97,2,2,,,5,3,1,2,3,,,1,,13,,,,,31
2019_2,1000460,128,2,2,,,12,3,2,1,1,1,,,1,14,,,,1,26
2019_2,1000478,98,3,3,,2,11,2,1,1,,,,,,1,,,,1,23
2019_2,1000477,107,8,6,,,8,1,1,,,,,,5,,,,,5,25
2019_2,1000469,182,4,4,,,5,3,,1,2,,,1,1,77,,,,,26
2019_2,1000473,103,3,8,,,6,1,1,,,,,,,4,,,,1,23
2019_2,1000452,189,16,10,,,10,1,2,2,3,,,,5,17,,,,2,46
2019_2,1000451,130,11,5,,1,6,1,1,,,,,,1,15,,,,1,37
2019_2,1000436,148,3,2,,,7,1,2,2,1,11,,,2,11,,,,,51
2019_2,1000433,114,4,1,,1,12,,,,,,,,,9,,,,,34
2019_2,1000439,146,5,6,,1,9,,2,3,2,8,,,,13,,,,2,36
2019_2,1000432,136,5,4,,,14,3,2,,2,,,3,,4,,,,1,27
2019_2,1000428,54,3,,,,4,2,2,1,,,,,1,,,,,3,9
2019_2,1000867,73,5,6,,,5,,1,,,,,1,1,2,,,,,14
2019_2,1000348,104,5,3,1,3,9,1,1,1,,,,,,3,,,,,22
2019_2,1000344,83,4,1,,1,10,2,1,1,,,,,,1,,,,,25
2019_2,1000395,69,5,2,,,6,3,1,2,2,,,1,,1,,,,,12
2019_2,1000418,119,3,2,1,1,18,1,,,,,,,,1,,,,1,17
2019_2,1000415,109,5,2,1,1,10,2,2,,1,1,,1,,1,,,,1,18
2019_2,1000370,77,3,1,,,3,3,3,1,2,,,,,,,,,,28
2019_2,1000543,68,3,4,,,4,2,2,,2,,,,,5,,,,,16
2019_2,1000333,91,5,,,,7,1,1,1,1,,,,,,,,,,31
2019_2,1000542,79,5,,,,8,2,3,1,,,,1,,3,,,,1,22
2019_2,1000359,130,7,4,1,2,18,,,1,,,,,,4,,,,1,30
2019_2,1000980,153,5,6,,2,20,1,2,1,2,,,1,,9,,,,2,17
2019_2,1000964,65,5,2,,1,4,1,1,1,,,,1,,2,,,,2,15
2019_2,1000979,134,3,5,,2,16,2,1,1,,,,1,,9,,,,1,8
2019_2,1000978,127,2,5,,2,16,4,2,1,,,,1,,9,,,,1,10
2019_2,1000881,135,5,6,,1,12,,1,,,,,1,,15,,,,2,23
2019_2,1000740,108,2,1,,,10,1,1,,,,,2,,5,,,,,11
2019_2,1000858,118,7,9,,1,9,,1,,,,,1,1,7,,,,1,17
2019_2,1000690,88,3,4,,1,7,1,1,1,,,,,,3,,,,1,16
2019_2,1000930,252,8,27,,2,20,,,,,,,1,3,34,,,,1,23
2019_2,1000917,87,5,4,,1,9,,1,1,,,,1,2,8,,,,1,10
2019_2,1000837,131,6,4,,1,9,3,4,1,1,,,1,1,20,,,,1,23
2019_2,1000836,205,3,4,1,2,23,3,2,1,,,,1,1,22,,,,1,20
2019_2,1000915,66,5,4,,,6,,1,1,,,,1,1,7,,,,1,4
2019_2,1000853,222,1,10,,,24,2,1,1,1,,,2,,7,,,,2,30
2019_2,1000942,111,5,,,,16,2,2,,,,,,1,2,,,,1,14
2019_2,1001004,142,2,3,,2,21,1,1,2,,,,,,9,,,,1,24
2019_2,1000998,128,4,5,,1,15,3,,,,,,3,,7,,,,1,13
2019_2,1000996,111,3,4,,3,15,1,,,,,,1,,5,,,,,11
2019_2,1000902,114,,7,,2,7,2,1,,,,,2,,35,,,,,14
2019_2,1000910,176,2,9,,,6,1,1,1,1,,1,,14,9,,,,1,8
2019_2,1000907,110,4,8,,2,6,,,1,,,,,2,5,,,,,12
2019_2,1000935,164,5,19,,,9,,,,,,1,2,8,12,,,,,23
2019_2,1000971,88,4,,,,13,2,2,,,,,,,7,,,,,8
2019_2,1000933,82,3,3,,,8,,2,,1,,,3,,5,,,,1,17
2019_2,1000903,53,,2,,,2,2,1,,1,,,,,2,,,,,19
2019_2,1001002,120,2,5,,3,22,2,,,,,,,,6,,,,1,12
2019_2,1000726,76,4,3,,,7,2,,1,,,,,,5,,,,2,16
2019_2,1000761,104,2,3,,,8,3,1,,,1,,1,,17,,,,1,15
2019_2,1000756,84,2,1,,,6,1,1,2,1,,,1,,4,,,,1,16
2019_2,1000790,72,2,1,,,12,2,1,2,1,,,,,,,,,,7
2019_2,1000754,51,2,,,,3,3,2,1,,1,,,,1,,,,,20
2019_2,1000780,120,6,1,,1,12,2,1,1,2,,,,3,15,,,,,19
2019_2,1000704,86,2,2,,,12,3,2,,,,,,,,,,,,18
2019_2,1000676,54,3,4,,,4,,1,,,,,,,,,,,,18
2019_2,1000799,94,4,1,,1,8,1,1,,,,,1,3,18,,,,,20
2019_2,1000736,107,9,2,,,7,,1,1,1,,,,,28,,,,,19
2019_2,1000735,122,1,3,,,9,1,,1,1,,,1,,7,,,,,37
2019_2,1000732,77,3,1,,,6,,1,,,,,,,10,,,,1,17
2019_2,1000706,90,1,2,,1,7,2,1,,1,,,1,,13,,,,,23
2019_2,1000695,94,3,6,,3,10,2,2,1,,1,,,,3,,,,,32
2019_2,1000819,44,1,,,,4,,,2,,,,,,5,,,,,10
2019_2,1000810,81,2,1,,,2,3,1,,2,,,,,26,,,,,20
2019_2,1000202,98,3,7,,3,12,,1,1,,,,,1,3,,,,,15
2019_2,1000213,58,1,4,,2,3,,1,1,,,,,1,2,,,,,9
2019_2,1000199,123,4,4,,6,19,2,1,,,,,,,4,,,,,21
2019_2,1000196,121,1,3,,4,16,1,2,,,,,,,6,,,,,24
2019_2,1000178,104,2,4,,,11,1,1,1,,,,,,6,,,,,18
2019_2,1000309,119,3,4,,,10,2,1,,,11,,,,7,,,,1,20
2019_2,1000325,171,3,6,,2,20,1,1,1,1,,1,1,1,7,,,,1,32
2019_2,1000296,97,5,2,,2,6,2,2,1,,,,,,3,,,,,31
2019_2,1000293,101,4,2,2,1,9,2,1,1,1,9,,,,11,,,,,25
2019_2,1000291,133,1,5,3,2,8,,,1,1,51,,,1,17,,,,2,18
2019_2,1000311,75,6,1,,,5,,2,1,,,,,,1,,,,1,16
2019_2,1000303,109,6,1,,,13,4,,,,,,1,,,,,,,15
2019_2,1000105,52,1,2,,,4,,,1,1,2,,1,2,3,,,,1,10
2019_2,1000104,84,1,9,,1,8,,,1,1,2,,1,,2,,,,1,15
2019_2,1000242,83,4,1,,,4,2,2,1,,,,,,3,,,,1,14
2019_2,1000240,67,3,,,2,6,3,2,2,3,,,1,,2,,,,,16
2019_2,1000098,94,4,2,,1,6,,1,,,,,1,,3,,,,1,28
2019_2,1000020,178,8,5,,,12,2,1,,1,,,1,1,20,,,,2,31
