기준_년_분기_코드,상권_코드,아파트_단지_수,아파트_면적_66_제곱미터_미만_세대_수,아파트_면적_66_제곱미터_세대_수,아파트_면적_99_제곱미터_세대_수,아파트_면적_132_제곱미터_세대_수,아파트_면적_165_제곱미터_세대_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,아파트_평균_면적,아파트_평균_시가
2019_2,1000936,129,1830,852,330,305,356,118,922,958,310,146,529,690,86,452208122
2019_2,1000937,181,2866,1674,1900,496,230,174,1248,668,244,560,763,3509,75,399226828
2019_2,1000938,217,4090,465,210,108,304,505,2664,1178,271,155,100,304,67,252840876
2019_2,1000939,111,2142,2452,1364,577,384,65,290,457,583,887,965,3672,88,537027998
2019_2,1000940,192,3002,1654,99,2,0,189,2045,1630,893,0,0,0,52,170968639
2019_2,1000941,167,2814,2969,1393,422,2,195,954,1254,1216,1811,1658,512,63,252584898
2019_2,1000942,227,3143,1375,285,13,8,63,1827,1809,1049,76,0,0,60,196576750
2019_2,1000943,489,8090,3697,530,18,4,1756,4894,1384,375,218,526,3186,49,188719172
2019_2,1000944,595,8159,3080,354,23,4,1879,5774,1789,649,773,642,114,50,172462887
2019_2,1000945,667,10552,2679,1014,588,4,2385,6902,1906,564,53,297,2730,50,182160477
2019_2,1000663,192,2612,492,4,2,0,1018,2064,28,0,0,0,0,55,111178036
2019_2,1000664,219,2894,1072,13,0,2,1021,2734,226,0,0,0,0,57,117536553
2019_2,1000665,200,2584,1210,101,4,2,869,2540,492,0,0,0,0,59,125044544
2019_2,1000666,138,1660,766,92,0,2,439,1769,312,0,0,0,0,58,132732964
2019_2,1000667,236,3386,1867,330,358,0,1035,3009,323,982,334,258,0,56,140234599
2019_2,1000668,64,1618,2015,66,14,0,462,1413,1838,0,0,0,0,55,150298104
2019_2,1000669,49,1485,1147,28,14,0,480,1222,972,0,0,0,0,53,138975568
2019_2,1000670,54,481,162,4,14,5,104,526,19,11,5,1,0,70,170483832
2019_2,1000671,152,1838,844,9,0,2,526,1936,203,28,0,0,0,57,122914013
