기준_년_분기_코드,상권_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2019_2,1001328,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019_2,1001327,14,7,7,0,0,1,0,2,11,0,0,1,0,1,5,0,0,0,0,1,6
2019_2,1001326,63,18,45,0,9,20,13,13,8,0,1,5,5,4,3,0,8,15,8,9,5
2019_2,1001325,11,7,4,0,0,0,3,2,6,0,0,0,1,1,5,0,0,0,2,1,1
2019_2,1001324,71,38,33,0,4,15,19,23,10,0,3,7,9,10,9,0,1,8,10,13,1
2019_2,1001323,99,41,58,5,20,21,30,10,13,1,4,7,16,5,8,4,16,14,14,5,5
2019_2,1001322,13,8,5,0,0,0,1,1,11,0,0,0,0,0,8,0,0,0,1,1,3
2019_2,1001321,53,45,8,0,5,6,9,24,9,0,4,6,8,19,8,0,1,0,1,5,1
2019_2,1001320,17,10,7,0,2,2,7,5,1,0,1,1,4,3,1,0,1,1,3,2,0
2019_2,1001319,18,11,7,0,1,4,3,3,7,0,1,1,3,2,4,0,0,3,0,1,3
2019_2,1001318,9,7,2,0,0,0,1,5,3,0,0,0,1,4,2,0,0,0,0,1,1
2019_2,1001317,15,12,3,1,1,4,2,5,2,1,1,4,2,2,2,0,0,0,0,3,0
2019_2,1001316,1213,668,545,3,114,199,313,353,231,0,56,115,174,196,127,3,58,84,139,157,104
2019_2,1001315,4,3,1,0,0,0,1,1,2,0,0,0,1,0,2,0,0,0,0,1,0
2019_2,1001314,148,67,81,0,14,30,36,34,34,0,2,8,19,16,22,0,12,22,17,18,12
2019_2,1001313,20,12,8,0,0,5,7,3,5,0,0,4,4,1,3,0,0,1,3,2,2
2019_2,1001312,4,2,2,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0
2019_2,1001310,8,4,4,0,0,0,3,3,2,0,0,0,1,1,2,0,0,0,2,2,0
2019_2,1001309,33,18,15,0,8,7,13,4,1,0,4,4,6,3,1,0,4,3,7,1,0
2019_2,1001308,19,12,7,0,6,4,4,5,0,0,4,3,1,4,0,0,2,1,3,1,0
2019_2,1001307,10,9,1,0,1,1,4,2,2,0,1,1,4,1,2,0,0,0,0,1,0
2019_2,1001306,26,14,12,0,3,4,9,8,2,0,2,3,6,2,1,0,1,1,3,6,1
2019_2,1001305,16,10,6,0,0,0,5,10,1,0,0,0,4,5,1,0,0,0,1,5,0
2019_2,1001304,63,34,29,0,6,19,20,8,10,0,4,10,9,6,5,0,2,9,11,2,5
2019_2,1001303,10,3,7,0,2,1,4,3,0,0,0,1,1,1,0,0,2,0,3,2,0
2019_2,1001302,62,44,18,0,3,12,9,26,12,0,2,9,8,16,9,0,1,3,1,10,3
2019_2,1001301,122,70,52,0,13,25,29,37,18,0,5,16,20,15,14,0,8,9,9,22,4
2019_2,1001300,30,7,23,0,3,7,13,5,2,0,0,1,4,1,1,0,3,6,9,4,1
2019_2,1001299,68,43,25,0,15,12,14,14,13,0,9,7,9,8,10,0,6,5,5,6,3
2019_2,1001298,55,31,24,0,9,11,13,14,8,0,5,7,6,7,6,0,4,4,7,7,2
