기준_년_분기_코드,상권_코드,남성_유동인구_수,여성_유동인구_수,주중_유동인구_수,주말_유동인구_수,남성_상주인구_수,여성_상주인구_수,남성_직장_인구_수,여성_직장_인구_수
2019_2,1000519,112582,117389,162452,67521,1083.0,1190.0,228.0,161.0
2019_2,1000566,502898,440795,672118,271567,1686.0,1724.0,130.0,81.0
2019_2,1000567,94903,88717,130492,53127,1937.0,1947.0,654.0,276.0
2019_2,1000568,106246,84867,132203,58918,1207.0,1179.0,181.0,78.0
2019_2,1000617,49588,49933,65757,33757,1716.0,1719.0,96.0,162.0
2019_2,1000618,70128,63311,90370,43071,957.0,876.0,58.0,61.0
2019_2,1000619,83223,70301,100934,52590,1562.0,1465.0,252.0,169.0
2019_2,1000670,81985,51112,109015,24082,573.0,482.0,65.0,23.0
2019_2,1000671,69463,61238,87218,43489,1662.0,1643.0,115.0,60.0
2019_2,1000672,104460,89736,142870,51327,310.0,266.0,270.0,88.0
2019_2,1000520,22683,34042,39260,17465,757.0,817.0,110.0,80.0
2019_2,1000521,273965,255140,386243,142861,1072.0,1216.0,208.0,173.0
2019_2,1000522,185125,190073,279053,96148,1659.0,1824.0,457.0,282.0
2019_2,1000569,90614,94214,132737,52088,1390.0,1572.0,124.0,72.0
2019_2,1000570,90385,105279,141560,54103,1483.0,1648.0,82.0,52.0
2019_2,1000571,78830,87747,110984,55595,1989.0,2086.0,174.0,101.0
2019_2,1000620,300100,198271,379393,118976,1002.0,1028.0,279.0,390.0
2019_2,1000621,29666,28375,37821,20229,1345.0,1249.0,184.0,163.0
2019_2,1000622,106404,110693,148996,68103,1286.0,1227.0,192.0,133.0
2019_2,1000673,98213,75332,125511,48036,1241.0,1011.0,217.0,99.0
2019_2,1000674,112189,96685,146168,62704,2437.0,2377.0,227.0,127.0
2019_2,1000675,109828,91731,140999,60565,1020.0,804.0,63.0,37.0
2019_2,1000676,43073,26838,55178,14744,1762.0,1768.0,119.0,114.0
2019_2,1000523,109596,94602,143552,60642,1374.0,1369.0,102.0,63.0
2019_2,1000524,28859,19748,35633,12976,557.0,517.0,177.0,110.0
2019_2,1000525,20078,21288,27534,13826,1162.0,1250.0,73.0,48.0
2019_2,1000526,74851,73460,102935,45383,1476.0,1456.0,70.0,99.0
2019_2,1000572,72085,83523,105055,50555,1840.0,1892.0,94.0,53.0
2019_2,1000573,84812,86426,120669,50576,980.0,1008.0,147.0,79.0
2019_2,1000574,103209,107931,150982,60160,182.0,200.0,91.0,37.0
2019_2,1001166,665352,590734,1002544,253542,1619.0,1915.0,8053.0,5084.0
2019_2,1001167,100461,91689,149884,42263,279.0,320.0,3743.0,1429.0
2019_2,1001168,71255,62347,104865,28740,103.0,135.0,4022.0,2899.0
2019_2,1001215,158000,137418,247888,47527,7.0,5.0,8386.0,5947.0
2019_2,1001216,215927,136980,265421,87486,155.0,38.0,1215.0,1483.0
2019_2,1001217,102968,89178,142673,49473,5.0,18.0,13.0,17.0
2019_2,1001218,163686,119745,222420,61010,14.0,13.0,139.0,96.0
2019_2,1001267,222507,170758,322576,70688,76.0,34.0,102.0,78.0
2019_2,1001268,54101,32690,70738,16053,89.0,82.0,30.0,23.0
2019_2,1001269,16487,12762,20977,8272,33.0,30.0,6.0,4.0
2019_2,1001270,74916,65890,98214,42592,187.0,185.0,9.0,9.0
2019_2,1001117,392617,390584,600282,182919,451.0,590.0,3993.0,5475.0
2019_2,1001118,55341,42233,75233,22338,735.0,753.0,4050.0,2859.0
2019_2,1001119,727271,556168,809461,473978,577.0,212.0,241.0,319.0
2019_2,1001169,87600,77895,129247,36247,278.0,209.0,571.0,2340.0
2019_2,1001170,73263,66983,113222,27025,32.0,11.0,1444.0,1026.0
2019_2,1001171,95599,82679,142873,35404,11.0,11.0,2494.0,1380.0
2019_2,1001219,17671,15966,23898,9738,64.0,60.0,18.0,13.0
2019_2,1001220,232484,201635,315562,118557,392.0,192.0,232.0,519.0
2019_2,1001221,305402,278961,405492,178876,1984.0,2042.0,644.0,1120.0
2019_2,1001271,180750,130538,199491,111796,433.0,348.0,263.0,291.0
2019_2,1001272,18119,11456,17499,12076,11.0,2.0,25.0,10.0
2019_2,1001273,462810,632908,886330,209390,49.0,30.0,2898.0,3985.0
2019_2,1001120,115857,100420,176800,39477,129.0,145.0,1700.0,1895.0
2019_2,1001121,482606,577207,696956,362861,292.0,192.0,77.0,60.0
2019_2,1001122,104983,96305,153355,47936,685.0,760.0,7555.0,5258.0
2019_2,1001172,249047,217048,328303,137796,309.0,228.0,15.0,32.0
2019_2,1001173,352835,417721,546996,223568,992.0,1007.0,252.0,411.0
2019_2,1001174,103433,106446,155886,53993,580.0,712.0,55.0,56.0
2019_2,1001222,45384,44363,66945,22802,424.0,449.0,772.0,97.0
2019_2,1001223,313049,273944,453901,133092,1088.0,1379.0,16545.0,9172.0
2019_2,1001224,190362,131778,224270,97871,180.0,126.0,320.0,429.0
2019_2,1001225,126181,105407,164709,66879,261.0,163.0,110.0,92.0
2019_2,1001274,235341,133375,311489,57226,190.0,82.0,1030.0,2095.0
2019_2,1001275,30583,14113,38490,6206,81.0,62.0,126.0,54.0
2019_2,1001276,28574,39801,51822,16553,4.0,1.0,1006.0,427.0
2019_2,1001277,212865,142253,289069,66051,195.0,94.0,767.0,478.0
2019_2,1001123,237383,232517,371099,98799,205.0,210.0,2444.0,1443.0
2019_2,1001124,243680,180466,283011,141139,1023.0,570.0,394.0,226.0
2019_2,1001125,68240,71165,101112,38296,221.0,226.0,1351.0,993.0
2019_2,1001126,8122,7230,11151,4201,146.0,142.0,21.0,10.0
2019_2,1001175,296101,277954,409345,164710,1358.0,1357.0,653.0,370.0
2019_2,1001176,22247,21746,33658,10334,6.0,4.0,3.0,10.0
2019_2,1001177,59907,54191,90557,23542,28.0,25.0,95.0,111.0
2019_2,1001178,235423,225640,347371,113689,317.0,340.0,858.0,750.0
2019_2,1001226,454691,339700,648106,146290,1021.0,1023.0,7932.0,3982.0
2019_2,1001227,235430,195281,353675,77037,310.0,240.0,12078.0,10036.0
2019_2,1001228,387033,332480,601953,117566,432.0,283.0,1159.0,616.0
