기준_년_분기_코드,상권_코드,아파트_단지_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2019_2,1001361,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_1,1001361,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_2,1001360,5.0,13.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_1,1001360,5.0,13.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
2019_2,1001359,35.0,14.0,1.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001359,35.0,14.0,1.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001358,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_1,1001358,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
2019_2,1001357,23.0,8.0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001357,23.0,8.0,1.0,1.0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001356,2.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001356,2.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001355,5.0,8.0,0,0,0,0,2.0,1.0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0
2019_1,1001355,5.0,8.0,0,0,0,0,2.0,1.0,0,0,0,0,0,1.0,0,2.0,0,0,0,0,0
2019_2,1001354,22.0,5.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001354,22.0,5.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001353,3.0,19.0,0,1.0,0,0,4.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,1.0
2019_1,1001353,3.0,19.0,0,1.0,0,0,4.0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,1.0
2019_2,1001352,8.0,4.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001352,8.0,4.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001350,4.0,29.0,1.0,2.0,0,0,3.0,0,0,0,0,0,0,1.0,1.0,2.0,0,0,0,0,3.0
2019_1,1001350,4.0,29.0,1.0,2.0,0,0,3.0,0,0,0,0,0,0,1.0,1.0,2.0,0,0,0,0,3.0
2019_2,1001349,2.0,8.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0
2019_1,1001349,2.0,8.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1.0
2019_2,1001347,3.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001347,3.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001345,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001345,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001343,5.0,10.0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001343,5.0,10.0,1.0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001342,2.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001342,2.0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_2,1001340,13.0,20.0,0,1.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
2019_1,1001340,13.0,20.0,0,1.0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
2019_2,1001339,5.0,12.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_1,1001339,5.0,12.0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2019_2,1001337,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019_1,1001337,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
